"size","move","farmStay","habFact","ppue"
0.4,0,30,2,13.043654479949
0.4,0,30,3,12.3778630994231
0.4,0,30,4,10.6559801147345
0.4,0,40,1,14.6405733056143
0.4,0,40,2,13.008841604968
0.4,0,40,3,11.9255913312508
0.4,0,40,4,11.5823312965579
0.4,0,50,1,14.6384654122857
0.4,0,50,2,13.2799175383347
0.4,0,50,3,11.9488289076225
0.4,0,50,4,12.5658551171753
0.4,0,60,1,14.633020947961
0.4,0,60,2,12.8882321710695
0.4,0,60,3,12.1658381909464
0.4,0,60,4,10.6507554161366
0.4,0,70,1,14.63754286986
0.4,0,70,2,13.4092360304009
0.4,0,70,3,10.4307638489493
0.4,0,70,4,12.7911589174468
0.4,0,80,1,14.6373925691982
0.4,0,80,2,13.0449670922477
0.4,0,80,3,12.8869359991594
0.4,0,80,4,13.1538507458449
0.4,0,90,1,14.6428618998069
0.4,0,90,2,13.1457976519518
0.4,0,90,3,12.1372051256076
0.4,0,90,4,13.15725930242
0.4,0,100,1,14.639843069307
0.4,0,100,2,13.7535789464749
0.4,0,100,3,11.8943838092673
0.4,0,100,4,11.6178745691961
0.5,0,1,1,14.6460810094066
0.5,0,1,2,12.8497500501308
0.5,0,1,3,10.770962940194
0.5,0,1,4,12.0154339268099
0.5,0,10,1,14.6448262460508
0.5,0,10,2,12.8070127044476
0.5,0,10,3,12.0679662161704
0.5,0,10,4,11.9471787754989
0.5,0,20,1,14.6415323734733
0.5,0,20,2,11.8817726403325
0.5,0,20,3,13.4292364532169
0.5,0,20,4,10.7724759313587
0.5,0,30,1,14.6497257083863
0.5,0,30,2,12.6359046599991
0.5,0,30,3,12.4222474534124
0.5,0,30,4,12.6747546854702
0.5,0,40,1,14.6330297797574
0.5,0,40,2,11.9186911905813
0.5,0,40,3,12.705159046615
0.5,0,40,4,11.0471958775061
0.5,0,50,1,14.6408346049329
0.5,0,50,2,11.7673368157235
0.5,0,50,3,12.6487630862213
0.5,0,50,4,12.5255244244778
0.5,0,60,1,14.6416787665809
0.5,0,60,2,12.2291985369286
0.5,0,60,3,11.6432133724301
0.5,0,60,4,10.0054381468851
0.5,0,70,1,14.6511724204297
0.5,0,70,2,12.6374435420914
0.5,0,70,3,10.537100864873
0.5,0,70,4,11.6316445548654
0.5,0,80,1,14.6574712865449
0.5,0,80,2,13.5652607765198
0.5,0,80,3,12.5922790767454
0.5,0,80,4,10.3509101161322
0.5,0,90,1,14.6482417609223
0.5,0,90,2,11.3795145210133
0.5,0,90,3,12.5916983063704
0.5,0,90,4,12.7044702239134
0.5,0,100,1,14.6462686737791
0.5,0,100,2,11.5097001999358
0.5,0,100,3,12.2500701375837
0.5,0,100,4,12.9473741669869
0.6,0,1,1,14.6585859761163
0.6,0,1,2,13.0110648383621
0.6,0,1,3,9.81799956611758
0.6,0,1,4,10.7396700951688
0.6,0,10,1,14.6513614182556
0.6,0,10,2,11.2910466453125
0.6,0,10,3,12.4988083227265
0.6,0,10,4,8.84830455831919
0.6,0,20,1,14.6597398685774
0.6,0,20,2,12.6885007504201
0.6,0,20,3,12.466973440453
0.6,0,20,4,11.6110741216423
0.6,0,30,1,14.6368359352929
0.6,0,30,2,12.3541407224041
0.6,0,30,3,12.9574457383253
0.6,0,30,4,11.6508791035907
0.6,0,40,1,14.6349928633564
0.6,0,40,2,11.9728511057107
0.6,0,40,3,10.6682181958742
0.6,0,40,4,10.7364773995584
0.6,0,50,1,14.6489058526941
0.6,0,50,2,11.7189556171346
0.6,0,50,3,9.77417750732636
0.6,0,50,4,9.65848407334639
0.6,0,60,1,14.6630949354376
0.6,0,60,2,13.3268011264342
0.6,0,60,3,12.5033881585474
0.6,0,60,4,10.0068933652506
0.6,0,70,1,14.637060937829
0.6,0,70,2,11.0647294982329
0.6,0,70,3,12.274837087572
0.6,0,70,4,10.3162409707132
0.6,0,80,1,14.6536480121216
0.6,0,80,2,12.6944875910998
0.6,0,80,3,11.2883569922425
0.6,0,80,4,11.3454052359402
0.6,0,90,1,14.6563134404171
0.6,0,90,2,13.6062435065643
0.6,0,90,3,9.77617290256591
0.6,0,90,4,10.6576531900507
0.6,0,100,1,14.656757618921
0.6,0,100,2,13.1696120827204
0.6,0,100,3,11.5462423878464
0.6,0,100,4,7.86895173228552
0.7,0,1,1,14.6571530253017
0.7,0,1,2,12.7627830705082
0.7,0,1,3,11.34120917124
0.7,0,1,4,10.2070585137758
0.7,0,10,1,14.667867624396
0.7,0,10,2,12.9606609852074
0.7,0,10,3,11.4916819117797
0.7,0,10,4,9.6982607394355
0.7,0,20,1,14.6546794886781
0.7,0,20,2,11.9700711079981
0.7,0,20,3,12.5718264405113
0.7,0,20,4,11.5025675459848
0.7,0,30,1,14.6574287394214
0.7,0,30,2,11.1714846131286
0.7,0,30,3,11.1371337368548
0.7,0,30,4,11.5050117367058
0.7,0,40,1,14.6549426143796
0.7,0,40,2,10.9180383411421
0.7,0,40,3,11.2199922807298
0.7,0,40,4,11.5479722875477
0.7,0,50,1,14.654961175785
0.7,0,50,2,12.1944716203741
0.7,0,50,3,10.0621678297943
0.7,0,50,4,10.2530891606401
0.7,0,60,1,14.6637351578566
0.7,0,60,2,11.7170782621225
0.7,0,60,3,11.2151308505202
0.7,0,60,4,11.5054221986213
0.7,0,70,1,14.6658595305275
0.7,0,70,2,12.9636678105133
0.7,0,70,3,10.0617591020239
0.7,0,70,4,11.911569445721
0.7,0,80,1,14.6486757022396
0.7,0,80,2,12.4840671376312
0.7,0,80,3,11.9770230512699
0.7,0,80,4,12.2348819354507
0.7,0,90,1,14.6544022367129
0.7,0,90,2,11.7428538242088
0.7,0,90,3,10.459438356481
0.7,0,90,4,10.6272182552412
0.7,0,100,1,14.6592646946166
0.7,0,100,2,12.9851648588055
0.7,0,100,3,13.0586392892746
0.7,0,100,4,11.9595340702784
0,1,1,1,14.6085768790351
0,1,1,2,14.6085768790351
0,1,1,3,14.6085768790351
0,1,1,4,14.6085768790351
0,1,10,1,14.6085768790351
0,1,10,2,14.6085768790351
0,1,10,3,14.6085768790351
0,1,10,4,14.6085768790351
0,1,20,1,14.6085768790351
0,1,20,2,14.6085768790351
0,1,20,3,14.6085768790351
0,1,20,4,14.6085768790351
0,1,30,1,14.6085768790351
0,1,30,2,14.6085768790351
0,1,30,3,14.6085768790351
0,1,30,4,14.6085768790351
0,1,40,1,14.6085768790351
0,1,40,2,14.6085768790351
0,1,40,3,14.6085768790351
0,1,40,4,14.6085768790351
0,1,50,1,14.6085768790351
0,1,50,2,14.6085768790351
0,1,50,3,14.6085768790351
0,1,50,4,14.6085768790351
0,1,60,1,14.6085768790351
0,1,60,2,14.6085768790351
0,1,60,3,14.6085768790351
0,1,60,4,14.6085768790351
0,1,70,1,14.6085768790351
0,1,70,2,14.6085768790351
0,1,70,3,14.6085768790351
0,1,70,4,14.6085768790351
0,1,80,1,14.6085768790351
0,1,80,2,14.6085768790351
0,1,80,3,14.6085768790351
0,1,80,4,14.6085768790351
0,1,90,1,14.6085768790351
0,1,90,2,14.6085768790351
0,1,90,3,14.6085768790351
0,1,90,4,14.6085768790351
0,1,100,1,14.6085768790351
0,1,100,2,14.6085768790351
0,1,100,3,14.6085768790351
0,1,100,4,14.6085768790351
0.1,1,1,1,14.7917093203778
0.1,1,1,2,14.510771580551
0.1,1,1,3,14.1790791971367
0.1,1,1,4,13.9368873254789
0.1,1,10,1,14.7348808638333
0.1,1,10,2,14.4908194438092
0.1,1,10,3,14.185257783135
0.1,1,10,4,13.9059818930855
0.1,1,20,1,14.8070286737701
0.1,1,20,2,14.3056883050238
0.1,1,20,3,13.8874713694597
0.1,1,20,4,13.937187940323
0.1,1,30,1,14.8070308158635
0.1,1,30,2,14.4908194438092
0.1,1,30,3,14.1790791971367
0.1,1,30,4,13.5457462668302
0.1,1,40,1,14.8070122940877
0.1,1,40,2,14.5101074776684
0.1,1,40,3,13.8874713694597
0.1,1,40,4,13.9371373739109
0.1,1,50,1,14.8063834798218
0.1,1,50,2,14.3056883050238
0.1,1,50,3,13.3648058323097
0.1,1,50,4,13.9296703881329
0.1,1,60,1,14.8069103525312
0.1,1,60,2,14.5109209366861
0.1,1,60,3,14.1852231127737
0.1,1,60,4,13.9371373739109
0.1,1,70,1,14.7348808638333
0.1,1,70,2,14.3056883050238
0.1,1,70,3,14.1840230265232
0.1,1,70,4,13.9371818071842
0.1,1,80,1,14.8070308158635
0.1,1,80,2,14.510771580551
0.1,1,80,3,13.3648058323097
0.1,1,80,4,13.5457462668302
0.1,1,90,1,14.7917093203778
0.1,1,90,2,14.5108981900308
0.1,1,90,3,14.1840230265232
0.1,1,90,4,13.5457462668302
0.1,1,100,1,14.8038488157907
0.1,1,100,2,14.4908194438092
0.1,1,100,3,14.1852231127737
0.1,1,100,4,13.9296703881329
0.2,1,1,1,14.9729983423102
0.2,1,1,2,14.2591453455384
0.2,1,1,3,13.7001301701296
0.2,1,1,4,11.9053878875183
0.2,1,10,1,14.9518141875734
0.2,1,10,2,14.7495804335506
0.2,1,10,3,14.2683500686943
0.2,1,10,4,13.8346020254056
0.2,1,20,1,14.9737443074259
0.2,1,20,2,14.7861716935821
0.2,1,20,3,13.7239103139386
0.2,1,20,4,13.3029736272061
0.2,1,30,1,14.9703470602888
0.2,1,30,2,14.6072478141255
0.2,1,30,3,13.7204699309838
0.2,1,30,4,11.7534019897856
0.2,1,40,1,14.9730370976285
0.2,1,40,2,14.0332004845602
0.2,1,40,3,14.1221546107676
0.2,1,40,4,12.2487086935299
0.2,1,50,1,14.9557479615424
0.2,1,50,2,14.6071817982329
0.2,1,50,3,14.2456783304378
0.2,1,50,4,13.958452576995
0.2,1,60,1,14.9519534607611
0.2,1,60,2,13.5675933629327
0.2,1,60,3,14.2233686700071
0.2,1,60,4,14.3804744050755
0.2,1,70,1,14.9565246995319
0.2,1,70,2,13.9865437652618
0.2,1,70,3,13.6186401360155
0.2,1,70,4,13.4086018200508
0.2,1,80,1,15.0198370544914
0.2,1,80,2,14.3855085943818
0.2,1,80,3,13.6226247682026
0.2,1,80,4,14.2328980838482
0.2,1,90,1,14.9703493374025
0.2,1,90,2,14.709912038259
0.2,1,90,3,13.5950518716954
0.2,1,90,4,13.8353240165837
0.2,1,100,1,15.0340917398494
0.2,1,100,2,13.4947377873882
0.2,1,100,3,14.1485603645964
0.2,1,100,4,13.3327016068734
0.3,1,1,1,15.1776482920124
0.3,1,1,2,14.2524873668963
0.3,1,1,3,11.9755277713473
0.3,1,1,4,12.9881748317296
0.3,1,10,1,15.2308978010265
0.3,1,10,2,14.3930859997935
0.3,1,10,3,14.4564327825543
0.3,1,10,4,13.531997480854
0.3,1,20,1,15.3095162193634
0.3,1,20,2,14.5267180338918
0.3,1,20,3,14.3550831357122
0.3,1,20,4,12.9781054375893
0.3,1,30,1,15.1568351408621
0.3,1,30,2,14.6809185591621
0.3,1,30,3,13.7450737249528
0.3,1,30,4,12.283072833936
0.3,1,40,1,15.2144409280785
0.3,1,40,2,14.5279585518657
0.3,1,40,3,13.5748348959931
0.3,1,40,4,12.4383914907795
0.3,1,50,1,15.3559291748292
0.3,1,50,2,13.7405720919173
0.3,1,50,3,14.687393907932
0.3,1,50,4,11.6622301248773
0.3,1,60,1,15.1622565626045
0.3,1,60,2,13.8391142847066
0.3,1,60,3,13.0796555172123
0.3,1,60,4,13.6379513874714
0.3,1,70,1,15.0385042971031
0.3,1,70,2,14.3393856674387
0.3,1,70,3,14.3277207098878
0.3,1,70,4,13.7929130773152
0.3,1,80,1,15.1327217816526
0.3,1,80,2,14.6780396337735
0.3,1,80,3,14.4391707749465
0.3,1,80,4,12.1602055853222
0.3,1,90,1,15.1380304707038
0.3,1,90,2,13.8302203058292
0.3,1,90,3,14.9072757730033
0.3,1,90,4,13.8778479196209
0.3,1,100,1,15.2297464986495
0.3,1,100,2,14.5346632882097
0.3,1,100,3,14.2281342544073
0.3,1,100,4,12.9833263259145
0.4,1,1,1,15.4063421030024
0.4,1,1,2,14.4770966338787
0.4,1,1,3,13.6134739283341
0.4,1,1,4,14.5883113443248
0.4,1,10,1,15.4073515144518
0.4,1,10,2,14.8102219289926
0.4,1,10,3,14.1321439323548
0.4,1,10,4,13.0384093466304
0.4,1,20,1,15.2386347868141
0.4,1,20,2,13.9714450636258
0.4,1,20,3,14.1908845398653
0.4,1,20,4,13.2988356356132
0.4,1,30,1,15.4045585931154
0.4,1,30,2,14.0145244991652
0.4,1,30,3,12.7852340855202
0.4,1,30,4,12.9091992566567
0.4,1,40,1,15.4579661823816
0.4,1,40,2,14.5860819762249
0.4,1,40,3,14.0452110953373
0.4,1,40,4,13.7771520566248
0.4,1,50,1,15.3818287866961
0.4,1,50,2,14.4295039760221
0.4,1,50,3,14.9839783658847
0.4,1,50,4,10.990450799062
0.4,1,60,1,15.4352561096001
0.4,1,60,2,14.0793724712364
0.4,1,60,3,12.6928898781972
0.4,1,60,4,13.7877135646323
0.4,1,70,1,15.2572329602997
0.4,1,70,2,13.8960998188294
0.4,1,70,3,14.1321814817062
0.4,1,70,4,13.4715821087515
0.4,1,80,1,15.3835723468126
0.4,1,80,2,14.5709514307209
0.4,1,80,3,13.7481172580294
0.4,1,80,4,14.6686097414594
0.4,1,90,1,15.386821894162
0.4,1,90,2,13.7547837782571
0.4,1,90,3,12.0717685296951
0.4,1,90,4,9.72269099294627
0.4,1,100,1,15.3059108787993
0.4,1,100,2,13.666932255698
0.4,1,100,3,13.3645071867802
0.4,1,100,4,11.0622220182021
0.5,1,1,1,15.9016740891746
0.5,1,1,2,14.3629201173299
0.5,1,1,3,13.0453200351527
0.5,1,1,4,12.3220147631065
0.5,1,10,1,15.5138725713918
0.5,1,10,2,14.6922431956896
0.5,1,10,3,13.8684259079045
0.5,1,10,4,12.7603667922634
0.5,1,20,1,15.5442639651606
0.5,1,20,2,14.1852737412403
0.5,1,20,3,13.3144657398079
0.5,1,20,4,14.4258441085414
0.5,1,30,1,15.4339995173015
0.5,1,30,2,14.0308334793923
0.5,1,30,3,13.5628730574829
0.5,1,30,4,14.3843772005483
0.5,1,40,1,15.5565614687413
0.5,1,40,2,15.6165887618595
0.5,1,40,3,13.7094850947868
0.5,1,40,4,13.7153010648128
0.5,1,50,1,15.6373198974777
0.5,1,50,2,14.0412022718222
0.5,1,50,3,12.0954959313844
0.5,1,50,4,12.9031369065244
0.5,1,60,1,15.7112510674703
0.5,1,60,2,14.6707131227707
0.5,1,60,3,14.0335301575891
0.5,1,60,4,9.82212665583334
0.5,1,70,1,15.5561442113755
0.5,1,70,2,12.7953771034519
0.5,1,70,3,13.7905289948813
0.5,1,70,4,10.5552828336199
0.5,1,80,1,15.4976483129564
0.5,1,80,2,13.9584237583896
0.5,1,80,3,12.9192204002805
0.5,1,80,4,14.2387725020593
0.5,1,90,1,15.4207572952269
0.5,1,90,2,14.7649188616538
0.5,1,90,3,12.9791087300041
0.5,1,90,4,10.8179475440035
0.5,1,100,1,15.5788299735271
0.5,1,100,2,14.9650621601474
0.5,1,100,3,10.4130798536715
0.5,1,100,4,10.8055609513008
0.6,1,1,1,15.9285852945235
0.6,1,1,2,14.827723210599
0.6,1,1,3,13.5883677895698
0.6,1,1,4,10.7639641556653
0.6,1,10,1,15.7307952444181
0.6,1,10,2,14.586907644481
0.6,1,10,3,12.628584351769
0.6,1,10,4,11.8459361393183
0.6,1,20,1,15.6252807107034
0.6,1,20,2,13.0976356352552
0.6,1,20,3,13.8414187800254
0.6,1,20,4,13.8530839277135
0.6,1,30,1,15.9128077203332
0.6,1,30,2,11.5450288208624
0.6,1,30,3,13.8022380528558
0.6,1,30,4,12.5241468876887
0.6,1,40,1,15.4247343877217
0.6,1,40,2,15.2279152440803
0.6,1,40,3,13.5410587438783
0.6,1,40,4,12.6198421769833
0.6,1,50,1,15.7344055139705
0.6,1,50,2,14.1308994281319
0.6,1,50,3,14.2823547392284
0.6,1,50,4,14.459795219226
0.6,1,60,1,15.556318148215
0.6,1,60,2,15.0275938368714
0.6,1,60,3,13.2317210714071
0.6,1,60,4,15.5142826087756
0.6,1,70,1,15.6104359851371
0.6,1,70,2,13.4481550216256
0.6,1,70,3,14.1726844684943
0.6,1,70,4,9.86549495814845
0.6,1,80,1,15.7923989782659
0.6,1,80,2,13.0249641617279
0.6,1,80,3,12.6514099914223
0.6,1,80,4,12.7545479997757
0.6,1,90,1,15.573641853526
0.6,1,90,2,15.1190425714365
0.6,1,90,3,13.0995793178548
0.6,1,90,4,12.7107355742391
0.6,1,100,1,15.8633502745335
0.6,1,100,2,13.8109223212335
0.6,1,100,3,13.2933006338115
0.6,1,100,4,13.9761231546022
0.7,1,1,1,16.0927818684192
0.7,1,1,2,12.5138708496744
0.7,1,1,3,13.3948187268153
0.7,1,1,4,14.0767552862502
0.7,1,10,1,15.9511285566534
0.7,1,10,2,14.5349051386867
0.7,1,10,3,11.4985524559794
0.7,1,10,4,13.3915744236989
0.7,1,20,1,16.359753275638
0.7,1,20,2,11.5510463597167
0.7,1,20,3,14.385455339789
0.7,1,20,4,10.5867927003368
0.7,1,30,1,16.2332004103566
0.7,1,30,2,13.2087084676713
0.7,1,30,3,13.6759440582442
0.7,1,30,4,14.7556065152843
0.7,1,40,1,15.9675518832863
0.7,1,40,2,15.3255948499169
0.7,1,40,3,14.9473131398886
0.7,1,40,4,12.7915231119448
0.7,1,50,1,16.2532553623182
0.7,1,50,2,14.1527823523739
0.7,1,50,3,12.6182853727856
0.7,1,50,4,11.9795913225605
0.7,1,60,1,16.2362720344859
0.7,1,60,2,14.0950878979475
0.7,1,60,3,13.0254403743874
0.7,1,60,4,12.3376350969224
0.7,1,70,1,15.5694607314712
0.7,1,70,2,13.9776370351666
0.7,1,70,3,14.4888203509508
0.7,1,70,4,11.4629127922771
0.7,1,80,1,16.0960061693042
0.7,1,80,2,13.3703370310725
0.7,1,80,3,13.5493386259593
0.7,1,80,4,14.6630738287201
0.7,1,90,1,16.1778568473814
0.7,1,90,2,15.5480467363193
0.7,1,90,3,11.9035162030447
0.7,1,90,4,15.5812128566178
0.7,1,100,1,15.7470360709938
0.7,1,100,2,13.9183266649128
0.7,1,100,3,13.7205174073901
0.7,1,100,4,14.4692998167734
0,2,1,1,14.6085768790351
0,2,1,2,14.6085768790351
0,2,1,3,14.6085768790351
0,2,1,4,14.6085768790351
0,2,10,1,14.6085768790351
0,2,10,2,14.6085768790351
0,2,10,3,14.6085768790351
0,2,10,4,14.6085768790351
0,2,20,1,14.6085768790351
0,2,20,2,14.6085768790351
0,2,20,3,14.6085768790351
0,2,20,4,14.6085768790351
0,2,30,1,14.6085768790351
0,2,30,2,14.6085768790351
0,2,30,3,14.6085768790351
0,2,30,4,14.6085768790351
0,2,40,1,14.6085768790351
0,2,40,2,14.6085768790351
0,2,40,3,14.6085768790351
0,2,40,4,14.6085768790351
0,2,50,1,14.6085768790351
0,2,50,2,14.6085768790351
0,2,50,3,14.6085768790351
0,2,50,4,14.6085768790351
0,2,60,1,14.6085768790351
0,2,60,2,14.6085768790351
0,2,60,3,14.6085768790351
0,2,60,4,14.6085768790351
0,2,70,1,14.6085768790351
0,2,70,2,14.6085768790351
0,2,70,3,14.6085768790351
0,2,70,4,14.6085768790351
0,2,80,1,14.6085768790351
0,2,80,2,14.6085768790351
0,2,80,3,14.6085768790351
0,2,80,4,14.6085768790351
0,2,90,1,14.6085768790351
0,2,90,2,14.6085768790351
0,2,90,3,14.6085768790351
0,2,90,4,14.6085768790351
0,2,100,1,14.6085768790351
0,2,100,2,14.6085768790351
0,2,100,3,14.6085768790351
0,2,100,4,14.6085768790351
0.1,2,1,1,14.8673356036608
0.1,2,1,2,14.3083236094582
0.1,2,1,3,14.1757406972703
0.1,2,1,4,14.3768865887449
0.1,2,10,1,14.8068417160613
0.1,2,10,2,14.7300413439566
0.1,2,10,3,14.486778164263
0.1,2,10,4,14.4594573528624
0.1,2,20,1,14.8068417160613
0.1,2,20,2,14.5180171277131
0.1,2,20,3,14.5607130736516
0.1,2,20,4,14.4239058543807
0.1,2,30,1,14.8403506127836
0.1,2,30,2,14.7268769003867
0.1,2,30,3,14.5607130736516
0.1,2,30,4,14.4585964764386
0.1,2,40,1,14.8697672538554
0.1,2,40,2,14.7216306884699
0.1,2,40,3,14.5607130736516
0.1,2,40,4,14.4239058543807
0.1,2,50,1,14.8068417160613
0.1,2,50,2,14.7302838161566
0.1,2,50,3,14.5607130736516
0.1,2,50,4,14.3126399660124
0.1,2,60,1,14.856639925022
0.1,2,60,2,14.7268769003867
0.1,2,60,3,14.1757406972703
0.1,2,60,4,14.3126399660124
0.1,2,70,1,14.8697672538554
0.1,2,70,2,14.5180171277131
0.1,2,70,3,14.6250136490666
0.1,2,70,4,14.446196176148
0.1,2,80,1,14.8694774773505
0.1,2,80,2,14.3083236094582
0.1,2,80,3,14.6244287435604
0.1,2,80,4,14.1818971399189
0.1,2,90,1,14.8640214509047
0.1,2,90,2,14.7291315934059
0.1,2,90,3,14.1757406972703
0.1,2,90,4,14.1818971399189
0.1,2,100,1,14.8697672538554
0.1,2,100,2,14.5180171277131
0.1,2,100,3,14.6250136490666
0.1,2,100,4,14.4552053783115
