"attraction","size","biomass","catch"
1,1,88741.7440183146,690.335414470222
1.05,1,88945.0808734462,687.303852806582
1.1,1,89139.4446759304,684.201972773572
1.15,1,89325.5594566743,681.039917597716
1.2,1,89504.0613604774,677.826634239908
1.25,1,89675.5153350034,674.569997680512
1.3,1,89840.4179958634,671.276981661004
1.35,1,89999.2091611027,667.953880058533
1.4,1,90152.2984236894,664.606085917085
1.45,1,90300.4546273168,661.233797806462
1.5,1,90444.1937445308,657.83848305973
1.55,1,90583.8701815408,654.419450494995
1.6,1,90721.8202640566,650.888032420666
1.65,1,90855.6803648021,647.309764225055
1.7,1,90985.3990562313,643.715152295632
1.75,1,91111.1531533664,640.106965525517
1.8,1,91233.1035078306,636.48774381838
1.85,1,91351.3968228655,632.859821544452
1.9,1,91466.1672253869,629.225347766912
1.95,1,91577.5376410603,625.586304082343
2,1,91685.6209978971,621.944520330661
1,2,88847.5223134747,688.782982112119
1.05,2,89060.5265262384,685.44503530438
1.1,2,89263.2187494418,682.032076642222
1.15,2,89456.418428794,678.557563672803
1.2,2,89640.8489227536,675.033338979245
1.25,2,89817.1504212991,671.469837951561
1.3,2,89985.8922116675,667.876249156422
1.35,2,90147.5833492318,664.260643045356
1.4,2,90303.3973429729,660.621819960818
1.45,2,90454.6237566956,656.953091104542
1.5,2,90604.020154897,653.179150027645
1.55,2,90751.342122414,649.212238207213
1.6,2,90893.2356253682,645.226419689192
1.65,2,91029.9958834371,641.226085645414
1.7,2,91161.7966977368,637.216331999529
1.75,2,91288.8409150923,633.201309360515
1.8,2,91411.3145335081,629.184806310058
1.85,2,91529.3885063312,625.170283335004
1.9,2,91643.2205591272,621.160900415836
1.95,2,91752.9566757708,617.159542829124
2,2,91858.7319776813,613.168848524037
1,3,88950.4124859656,687.144054705862
1.05,3,89163.8661993017,683.664591988316
1.1,3,89365.9872446503,680.128698158166
1.15,3,89557.6668214615,676.551496614016
1.2,3,89739.6922425252,672.946025286077
1.25,3,89912.7616923956,669.323509720629
1.3,3,90077.4963812888,665.693605786766
1.35,3,90234.6340322143,662.06255017935
1.4,3,90386.5128470883,658.415246747466
1.45,3,90536.3248300428,654.68329338384
1.5,3,90684.7514613128,650.720629295361
1.55,3,90826.659284001,646.759911883828
1.6,3,90962.3835982033,642.807238419251
1.65,3,91092.1593638981,638.868387597939
1.7,3,91216.2443586847,634.948014189722
1.75,3,91334.8762782065,631.050234108187
1.8,3,91448.2828918151,627.178581164529
1.85,3,91556.6833246684,623.336068695622
1.9,3,91660.2558856433,619.525635701831
1.95,3,91759.1797021248,615.749709388948
2,3,91853.6177193139,612.010460060041
1,4,89066.9597831968,685.209687234551
1.05,4,89280.4636662086,681.617237222885
1.1,4,89481.6279137333,677.993032234361
1.15,4,89671.409784681,674.352391238751
1.2,4,89850.6559858183,670.70820685775
1.25,4,90020.11884405,667.071298118064
1.3,4,90180.469832037,663.450712121439
1.35,4,90333.2285294842,659.843620744066
1.4,4,90482.2676487275,656.195915165074
1.45,4,90629.5214255088,652.368794436632
1.5,4,90770.5744335784,648.49535274045
1.55,4,90904.256439333,644.653473507625
1.6,4,91030.8914079305,640.84871322049
1.65,4,91150.814267382,637.08541109517
1.7,4,91264.3694096484,633.366814252121
1.75,4,91371.8027107953,629.69647984379
1.8,4,91473.3845263377,626.076923405693
1.85,4,91569.3686175839,622.510188068174
